boolean_relationship,relationship_info,pmid,chemical_name,disease_name,abstracts
False,thus bortezomib could sensitize escc trail apoptosis multiple molecular mechanisms actionnan,20515944,bortezomib,ESCC,"Esophageal squamous cell carcinoma (ESCC) is one of the most aggressive human cancers, and novel treatment modalities are required. We investigated the therapeutic potential of the tumor necrosis factor-related apoptosis-inducing ligand (TRAIL/Apo2L) in combination with the proteasome inhibitor bortezomib (Velcade) on human ESCC cell lines. Bortezomib enhanced the susceptibility to TRAIL in 12 of the 15 ESCC cell lines tested, although most showed low sensitivity to TRAIL as a single agent. The enhancement of TRAIL-induced apoptosis by bortezomib was caspase dependent. Increased processing of caspase-8 often accompanied enhancement of TRAIL-induced apoptosis by bortezomib. However, the increased cell surface expression of death receptors observed on bortezomib treatment did not seem to be crucial for this effect. For some ESCC, bortezomib treatment resulted in a more efficient recruitment of caspase-8 and the Fas-associated death domain to the death-inducing signaling complex. Additional downregulation of the cellular FLICE-inhibitory protein long isoform [c-FLIP(L)] could cooperate in the activation of the extrinsic pathway in some cases. For other ESCC, the crucial effect of bortezomib treatment seemed to be increased signaling via the intrinsic apoptotic pathway on subsequent exposure to TRAIL. Thus, bortezomib could sensitize ESCC to TRAIL apoptosis by multiple molecular mechanisms of action. Therefore, the combination of bortezomib and TRAIL might be a novel therapeutic strategy for ESCC patients who fail to respond to standard chemoradiotherapy that predominantly targets the mitochondrial apoptotic pathway."
False,median visual analog pain scale scores acetazolamide latanoprost travoprost brinzolamide timolol groups   respectivelynan,23461283,timolol,pain,"This study evaluated the effects of acetazolamide, latanoprost, travoprost, bimatoprost, brimonidine, brinzolamide, and timolol on pain during phacoemulsification cataract surgery."
False,numerous studies shown combination insulin sulphonylurea effective insulin alone treatment patients niddm secondary failure oral drugs leading better glucose profiles andor decreased insulin needsnan,8212978,glucose,NIDDM,"Non-insulin-dependent diabetes mellitus (NIDDM) appears to be an heterogeneous disorder characterized by both relative insulin deficiency and impaired insulin action. The initial management of NIDDM should include patient education, dietary counselling and individualized programs of physical activity. It is only when such measures fail that drug therapy should be considered. Oral drug therapies include sulphonylurea derivatives, biguanides, among which metformin remains the only one commercialized in our country, and alpha-glucosidase inhibitors such as acarbose. However, insulin therapy may be required to achieve adequate glycaemic control in some patients, the so-called secondary failures to oral treatment. The rationale for combining insulin and oral drug therapy derives from a better understanding of the pathophysiology of NIDDM and of the mechanisms of action of the oral drugs available: 1) type 2 diabetic patients are both insulin-deficient and insulin-resistant, thus requiring quite high doses of exogenous insulin; 2) peripheral insulin delivery leads to hyperinsulinaemia which could play a role in the pathogenesis of late diabetic complications; 3) sulphonylureas stimulate insulin release directly into the portal vein and could also potentiate peripheral insulin action; and 4) metformin (by improving glucose metabolism and insulin sensitivity) and alpha-glucosidase inhibitors (by slowing down the digestion of complex carbohydrates and sucrose) are able to reduce the amounts of insulin needed to control postprandial hyperglycaemia. Numerous studies have shown that a combination of insulin and sulphonylurea is more effective than insulin alone in the treatment of patients with NIDDM after secondary failure to oral drugs, leading to better glucose profiles and/or decreased insulin needs. The available data suggest that combination therapy is most beneficial in the diabetic patient who still has residual insulin secretory capacity and that the best scheme comprises an evening injection of lente insulin and the administration of sulphonylureas before meals. Preliminary results suggested that insulin-metformin (when obesity is present) or insulin-acarbose (when post-prandial hyperglycaemia occurs) combinations might offer some favourable features for the treatment of NIDDM patients although these therapeutical approaches still require adequate evaluation in further controlled studies. The additional cost of such combined therapy should be weighed against the potential advantages of better metabolic control."
False,considered treating ckd patients require phosphate binders oral vitamin nan,20921291,vitamin D,CKD,Lanthanum carbonate and sevelamer carbonate are non-calcium-based phosphate binders used to manage hyperphosphataemia in patients with chronic kidney disease (CKD). Patients with CKD may require intravenous or oral active vitamin D. We investigated the effects of lanthanum carbonate and sevelamer carbonate on the bioavailability of oral calcitriol.
True,vorozole like ovariectomy almost completely reduces tumor growth dmba induced mammary carcinoma model ratnan,7726994,DMBA,mammary carcinoma,"Vorozole, the (+)-(S)-isomer of a new triazole compound, is a potent and selective aromatase inhibitor. In vitro, the compound is over a thousandfold more active than aminoglutethimide. In vivo, the compound very potently inhibits ovarian, peripheral, and tumoral aromatase. Vorozole shows an in vitro selectivity margin of 10,000-fold for aromatase inhibition as compared to inhibition of other P450- and non-P450-dependent reactions. This selectivity was confirmed in the rat in vivo. Vorozole, like ovariectomy, almost completely reduces tumor growth in the DMBA-induced mammary carcinoma model in the rat. In postmenopausal women, vorozole very potently inhibits peripheral conversion of androstenedione to estrone. After chronic administration, plasma estradiol levels are reduced while the levels of adrenal gluco- and mineralo-corticoids remain unchanged. Vorozole has excellent oral bioavailability and exerts linear, dose-proportional pharmacokinetics."
False,addition proteasome inhibitor triacsin treatment abolished adrp decrease accumulated polyubiquitinated adrp nan,16230742,triacsin C,ADRP,"Adipose differentiation-related protein (ADRP) is a major protein associated with lipid droplets in various types of cells, including macrophage-derived foam cells and liver cells. However, the role of ADRP in the processes of formation and regression of these cells is not understood. When J774 murine macrophages were incubated with either VLDL or oleic acid, their content of both ADRP and triacylglycerol (TG) increased 3- to 4-fold. Induction of ADRP during TG accumulation was also observed in oleic acid-treated HuH-7 human liver cells. Addition of triacsin C, a potent inhibitor of acyl-CoA synthase, for 6 h decreased the amount of TG in VLDL-induced foam cells and oleic acid-treated liver cells; it decreased the amount of ADRP protein in parallel, indicating the amount of ADRP reduced during regression of the lipid-storing cells. Addition of a proteasome inhibitor during triacsin C treatment abolished the ADRP decrease and accumulated polyubiquitinated ADRP. In addition, the proteasome inhibitor reversed not only the degradation of ADRP but also TG reduction by triacsin C. These results suggest that cellular amounts of ADRP and TG regulate each other and that the ubiquitin-proteasome system is involved in degradation of ADRP during regression of lipid-storing cells."
True,olanzapine like risperidone also associated onset mania adultsnan,11772153,risperidone,mania,"Antipsychotics are frequently used in the treatment of a variety of neuropsychiatric conditions in children and adolescents. Atypical antipsychotics have come to the forefront in child psychiatry due largely to their tolerability profiles as well as their efficacy. Potential treatment options include clozapine, risperidone, olanzapine, quetiapine and ziprasidone. A number of studies investigating the use of clozapine have been published in children; however, owing to the frequent monitoring required for agranulocytosis, the use of clozapine may be restricted to patients with treatment-refractory disease. With accumulating data on the development of glucose intolerance in adults receiving clozapine, closer monitoring of bodyweight and fasting blood glucose is imperative. Clozapine also has an increased seizure risk, therefore a baseline electroencephalogram should be performed, as well as continued vigilance for this adverse effect. Risperidone is an atypical antipsychotic that is generally well tolerated and numerous studies have been published investigating this drug in children. Unlike clozapine, its receptor interaction profile lends itself toward increased risk of extrapyramidal symptoms (EPS) and hyperprolactinaemia. Bodyweight gain is a common adverse effect, although somewhat less than that reported with olanzapine. Baseline liver function studies prior to initiation of this medication are recommended. Risperidone-induced mania has been reported in adults and, therefore, increased caution should be used when deciding to treat children and adolescents with risperidone, particularly in those with a predisposition toward mania. Olanzapine, like risperidone, has also been associated with onset of mania in adults. Olanzapine has a receptor profile that results in significant risk for bodyweight gain and sedation. Furthermore, this drug has been linked to the development of glucose intolerance; thus, it is important to monitor bodyweight and fasting blood glucose on a frequent basis. Less information is known about quetiapine in children and adolescents. Reports about its efficacy and tolerability vary. Quetiapine appears to have increased risk for sedation and bodyweight gain, albeit less than that of olanzapine. The compound appears to be less likely to induce EPS. Finally, ziprasidone has recently been approved for use in the adult population. This compound, in terms of its receptor profile, has more in common with risperidone. This suggests a potential for increased risk of EPS and hyperprolactinaemia. It also has an increased risk of QTc prolongation; thus, a baseline electrocardiogram is suggested, particularly in those patients with a history of cardiovascular illness. Lack of evidence for bodyweight gain with ziprasidone is a considerable advantage."
False,tumors included childhood highgrade gliomas mg mg adult highgrade gliomas mg mg medulloblastomas med med ependymomas ep ep rhabdomyosarcoma te well sublines demonstrated resistance busulfan mg br cyclophosphamide te cr procarbazine mg pr melphalan te mr growing subcutaneously intracranially athymic nude micenan,8996518,busulfan,gliomas,"Therapy of patients with malignant central nervous system tumors is frequently unsuccessful, reflecting limitations of current surgical, radiotherapeutic, and pharmacotherapeutic treatments. The camptothecin derivative irinotecan (CPT-11) has been shown to possess antitumor activity in phase II trials for patients with carcinoma of the lung, cervix, ovary, colon, or rectum and for patients with non-Hodgkin's lymphoma. The current study was designed to test the efficacy of the drug against a panel of human tumor xenografts derived from adult and pediatric central nervous system malignancies. Tumors included childhood high-grade gliomas (D-212 MG, D-456 MG), adult high-grade gliomas (D-54 MG, D-245 MG), medulloblastomas (D341 Med, D487 Med), ependymomas (D528 EP, D612 EP), and a rhabdomyosarcoma (TE-671), as well as sublines with demonstrated resistance to busulfan (D-456 MG (BR)), cyclophosphamide (TE-671 CR), procarbazine (D-245 MG (PR)) or melphalan (TE-671 MR), growing subcutaneously and intracranially in athymic nude mice. In replicate experiments, CPT-11 was given at a dosage of 40 mg/kg per dose via intraperitoneal injection in 10% dimethylsulfoxide on days 1-5 and 8-12, which is the dosage lethal to 10% of treated animals. CPT-11 produced statistically significant (P < 0.001) growth delays in all subcutaneous xenografts tested, including those resistant to busulfan, cyclophosphamide, procarbazine, and melphalan, with growth delays ranging from 21.3 days in D487 Med to 90+ days in several tumor lines. Further, tumor regression was evident in every treated animal bearing a subcutaneous tumor, with some xenografts yielding complete tumor regression. Statistically significant (P < 0.001) increases in survival were demonstrated in the two intracranial xenografts-D341 EP (73.0% increase) and D-456 MG (114.2% increase)-treated with CPT-11. These studies demonstrate that, of over 40 drugs evaluated in this laboratory, CPT-11 is the most active against central nervous system xenografts and should be advanced to clinical trial as soon as possible."
False,total dose iron safe effective means restoring iron erythropoietic response esrd patients weighing kg receive renal replacement therapy homenan,9848632,iron,ESRD,To determine the safety and efficacy of intravenous total dose iron (TDI) replacement in patients treated with home renal replacement therapy.
False,"ten patients hairy cell leukemia hcl seven patients bcell chronic leukemias bcl studied intracellular 2',5'-oligoadenylate synthetase oas activity mononuclear cells  pentostatin administrationnan",1564958,pentostatin,HCL/hairy cell leukemia,"Similar to interferon alpha, pentostatin is highly effective in hairy cell leukemia and moderately active in other chronic lymphoid malignancies. In ten patients with hairy cell leukemia (HCL) and seven patients with other B-cell chronic leukemias (BCL), we have studied the intracellular 2',5'-oligoadenylate synthetase (2,5OAS) activity of the mononuclear cells before, 4 h, 24 h, and 48 h after pentostatin administration. In patients with HCL the median level of intracellular 2,5OAS increased 4.6-fold at 4 h and 11.5-fold at 24 h compared to the pretreatment value. Among the other seven patients, the median intracellular 2,5OAS remained unchanged in three patients and rose slightly by 2 to 14 times in four patients. Eleven patients (eight with HCL and two with BCL) responded to pentostatin. The median increase in 2,5OAS among the responders was 13.0-fold (range 4.8-30.0) whereas that among non-responders was 2.2-fold (range 0.2-6.3). The difference was highly significant (p less than 0.0001). In five of the total seventeen patients, the plasma levels of 2,5OAS activity were also determined and changes in plasma levels paralleled those measured intracellularly. To determine if the elevation of 2,5OAS is mediated by induction of interferon alpha, the expressions of mRNA for interferon alpha and beta were investigated by means of reverse transcription and polymerase chain reaction using the corresponding sense primers. In none of the five patients thus studied could we find an induction of mRNA for interferon alpha or beta in the leukemic cells during treatment with pentostatin. Thus, response to pentostatin correlates with induction of 2,5OAS directly and the 2',5'-oligoadenylate system seems to be involved in cytotoxicity."
True,case report highlights rare adverse drug reaction oral roxithromycin causing toxic epidermal necrolysis ten nan,22777150,roxithromycin,adverse drug reaction/TEN/toxic epidermal necrolysis,"This case report highlights a very rare adverse drug reaction of oral roxithromycin causing toxic epidermal necrolysis (TEN). A 54-year-old male patient diagnosed with upper respiratory tract infection was prescribed oral roxithromycin 150 mg twice daily for 7 days. On the 10th day, the patient was admitted to the emergency with sore throat, redness, watering of eyes, painful micturition, and severe skin lesions. The skin lesions were multiple, severely painful, burning, coalesced, and filled with fluid-producing large blisters appearing on the lip, face, and trunk and then gradually spreading to legs, arms, palms, hands, and feet extensively involving much >30% of body surface area. Clinical examination, blood investigation, and histopathological examination of the skin confirmed the diagnosis of TEN. There was no history of any concomitant medications, drug allergy, burn injury, recent graft, or transplant or any coexisting infections such as herpes simplex. Other resembling skin diseases were eliminated after proper dermatological examination. This episode of TEN was probably drug (roxithromycin) induced. The drug was immediately stopped, and the patient was treated meticulously resulting in gradual reversal of the diseased state. Naranjo adverse drug reaction probability scale suggested the likelihood that oral administration of roxithromycin was responsible for the TEN was 'probable.'"
False,frequent strategies included dietary changes vitamins modification routines rest exercise prescribed medications anemia vitamin deficiency testosterone deficiencynan,15186711,testosterone,anemia,"Fatigue, a common symptom among persons living with HIV/AIDS, is often underreported and undertreated. However, given fatigue's pervasive effects on well-being and functioning, the identification of its physiologic and psychological causes and strategies to alleviate it are important to patients' quality of life. As part of a study to understand better how HIV-positive middle-aged and older adults (50+) manage common symptoms, 49 participants discussed in depth their experience with fatigue. Most engaged in both self-care activities and sought the assistance of a health care professional. Frequent strategies included dietary changes, vitamins, modification of routines, rest, exercise, and prescribed medications for anemia, Vitamin B(12) deficiency, or testosterone deficiency. Complementary and alternative medicine (e.g., acupuncture, massage, herbal remedies, special juices) was also commonly used. Participants often used multiple strategies to alleviate their fatigue, possibly because of their tendency to attribute it to multiple causes. These HIV-positive older adults were also apt to view fatigue as an indirect indicator of their overall health status and immune functioning. This may explain why many of the coping strategies they used could be considered approaches to improving their overall health status as a means to increasing their energy levels. Health care professionals can play an important role in helping HIV-positive individuals manage their fatigue. The majority of participants tried to implement the coping suggestions offered by health care professionals, as well as those from family, friends, and support group members."
True,addition confirmed clinical evidence administration ascorbic acid lessens morbidity mortality systemic chromium poisoning nan,10382555,chromium,poisoning,"Repeated topical exposure to chromium(VI) may cause an allergic contact dermatitis or the formation of chrome ulcers. Systemic toxicity may occur following the ingestion of a chromium(VI) salt, from chromium(VI)-induced skin burns, or from inhalation of chromium(VI) occurring occupationally. Soluble chromium(VI) salts are usually absorbed more easily and cross cell membranes more readily than trivalent chromium salts, and, therefore chromium(VI) is more toxic than chromium(III). In experimental studies, endogenous ascorbic acid in rat lung, liver, and kidney and human plasma, effectively reduces chromium(VI) to chromium(III). The administration of exogenous ascorbic acid has been advocated therefore in the treatment of systemic chromium poisoning and chromium dermatitis to enhance the extracellular reduction of chromium(VI) to the less bioavailable chromium(III)."
True,fifteen patients demonstrating unexpected prolonged apnoea lasting several hours succinylcholine treated new preparation human serum cholinesterasenan,871943,succinylcholine,apnoea,Fifteen patients demonstrating unexpected prolonged apnoea lasting several hours after succinylcholine have been treated by a new preparation of human serum cholinesterase. Adequate spontaneous respiration was re-established in an average period of ten minutes after the injection. In 12 patients biochemical genetic examinations confirmed the presence of an atypical serum cholinesterase. In three patients none of the usual variants were found. It is therefore supposed that other unknown variants of serum cholinesterase exist which cannot hydrolyze succinylcholine. The use of serum cholinesterase in succinylcholine apnoea provided considerable relief to both patient and anaesthetist.
True,authors recorded channel electroencephalograms healthy human participants consciousness sevoflurane induced unconsciousness recovery   suitable analysisnan,25296108,sevoflurane,unconsciousness,"Recent studies of anesthetic-induced unconsciousness in humans have focused predominantly on the intravenous drug propofol and have identified anterior dominance of alpha rhythms and frontal phase-amplitude coupling patterns as neurophysiological markers. However, it is unclear whether the correlates of propofol-induced unconsciousness are generalizable to inhaled anesthetics, which have distinct molecular targets and which are used more commonly in clinical practice."
False,arsenic trioxide aso highly efficacious acute promyelocytic leukemia apl nan,16968895,Arsenic trioxide,APL/acute promyelocytic leukemia,"Arsenic trioxide (As2O3) is highly efficacious in acute promyelocytic leukemia (APL). Aquaglyceroporin 9 (AQP9) is a transmembrane protein that may be involved in arsenic uptake. In 10 of 11 myeloid and lymphoid leukemia lines, quantitative polymerase chain reaction (Q-PCR) and Western blotting showed that AQP9 expression correlated positively with As2O3-induced cytotoxicity. As a proof-of-principle, transfection of EGFP-tagged AQP9 to the hepatoma line Hep3B, not expressing AQP9 and As2O3 insensitive, led to membrane AQP9 expression and increased As2O3-induced cytotoxicity. Similarly, the chronic myeloid leukemia line K562 expressed low levels of AQP9 and was As2O3 insensitive. The K562(EGFP-AQP9) transfectant accumulated significantly higher levels of intracellular arsenic than control K562(EGFP) when incubated with As2O3, resulting in significantly increased As2O3-induced cytotoxicity. Pretreatment of the myeloid leukemia line HL-60 with all-trans retinoic acid (ATRA) up-regulated AQP9, leading to a significantly increased arsenic uptake and As2O3-induced cytotoxicity on incubation with As2O3, which might explain the synergism between ATRA and As2O3. Therefore, AQP9 controlled arsenic transport and might determine As2O3 sensitivity. Q-PCR showed that primary APL cells expressed AQP9 significantly (2-3 logs) higher than other acute myeloid leukemias (AMLs), which might explain their exquisite As2O3 sensitivity. However, APL and AML with maturation expressed comparable AQP9 levels, suggesting that AQP9 expression was related to granulocytic maturation."
True,data support view measured adverse effects reflect dosedependent nicotine induced vestibular dysfunction nan,17990061,nicotine,vestibular dysfunction,"Nicotine has wellknown, unpleasant side effects, e.g., transient dizziness, nausea, and nicotine-induced nystagmus (NIN). To investigate factors influencing these effects, we addressed three questions: (1) Is the intensity of dizziness, nausea, NIN, and unsteadiness dependent on nicotine dosage? (2) Does the intensity of perceptual, ocular motor, vegetative effects, and postural imbalance correlate? (3) Do visual or vestibular motion stimuli produce and/or aggravate distressing dizziness and nausea? Sixty healthy non-smokers or occasional smokers participated; 40 were tested once before and six times after application of a nicotine nasal spray in doses of 1 mg or 2 mg with or without motion stimulation; 20 received a placebo nasal spray. Plasma nicotine concentrations were significantly related to nicotine dosage. Dizziness, nausea, NIN, and unsteadiness also depended on the nicotine dosage (p < 0.01).Nicotine blood concentration was a better predictor for the temporal dependence of nystagmus than nicotine dosage. Dizziness correlated highly with nausea (R = 0.63, p < 0.001). The degree of nicotine-induced nausea significantly correlated with postural imbalance. The time course of postural sway differed according to nicotine dosage and gender: for women, there was no clear relationship between sway magnitude and nicotine dosage, while men showed increased sway with higher dosage. Motion stimulation increased nicotine-induced dizziness and nausea, but did not significantly influence NIN or postural imbalance. Our data support the view that all measured adverse effects reflect dose-dependent nicotine-induced vestibular dysfunction. Additional motion stimulation aggravates dizziness and nausea, i.e., nicotine increases sensitivity to motion sickness."
False,findings consistent previous hypothesis enhanced norepinephrine release brain yohimbine patients ptsd nan,9075465,norepinephrine,PTSD,"We have previously reported an increase in symptoms of anxiety in patients with posttraumatic stress disorder (PTSD) following administration of the beta 2-antagonist yohimbine, which stimulates brain norepinephrine release. Preclinical studies show decreased metabolism in the neocortex and the caudate nucleus with high-dose yohimbine-induced norepinephrine release, but low levels of norepinephrine release result in an increase in metabolism in these areas."
True,although incidence vigabatrin induced vfc worrisome context intractable seizures infantile spasms therapeutic benefits must weighed risksnan,10894216,vigabatrin,VFC,"Vigabatrin is an anti-epileptic drug particularly useful for drug-resistant partial seizures and infantile spasms. Recently, vigabatrin-induced visual field constriction (VFC) and abnormal ocular electrophysiological studies were reported. In this study, we assessed visual fields, visual evoked potentials (VEPs), and electroretinography (ERG) in children treated with vigabatrin. Twenty-four visually asymptomatic children underwent a clinical ophthalmological examination, perimetry when appropriate, and VEP and ERG. Thirteen patients had at least one abnormal study. VFC was seen in 11 of 17 patients who had perimetry; 5 of 15 patients who underwent VEP testing and 4 of 11 who underwent ERG testing had abnormal examinations. For the most part, abnormal VEPs and ERGs were found in children who also had VFC. There was a consistent trend for longer treatment periods to correlate with VFC, abnormal ERGs, and VEPs. In summary, over half of the children treated with vigabatrin demonstrated VFC or abnormal ocular electrophysiological studies. Perimetry seemed to be the most sensitive modality for identifying vigabatrin toxicity. Abnormal ERGs and VEPs were primarily seen in children with VFC and may be useful in monitoring children who are not appropriate candidates for perimetry. Although the incidence of vigabatrin-induced VFC is worrisome, in the context of intractable seizures or infantile spasms, therapeutic benefits must be weighed against risks."
True,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even death nan,22542152,aspirin,death,"Low dose aspirin (ASA) use has been associated with a wide range of adverse side effects in the upper gastrointestinal (GI) tract, which range from troublesome symptoms without mucosal lesions to more serious toxicity, including ulcers, GI bleeding, perforation and even death. Upper GI symptoms in low dose ASA users are common but often careless or misinterpreted and they are not always related to the presence of mucosal injury. Usually, low dose ASA related ulcers are reasonably small and asymptomatic, and probably heal over a period of weeks to a few months. But, the real clinical problem occurs when the ulcer results in a GI complication (mostly bleeding). The estimated average excess risk of symptomatic or complicated ulcer related to low dose ASA is five cases per 1000 ASA users per year. Death is the worst outcome of GI complications in low dose ASA users, but data about this aspect are scarce. Current evidence indicates that low dose ASA can damage the lower GI tract also, but the real size of the problem is still unknown."
True,however iontophoresis noradrenaline thermal hyperalgesia greater guanethidine pretreated site saline pretreated sitenan,11474550,guanethidine,thermal hyperalgesia,"Supersensitivity to noradrenaline contributes to certain vascular disorders (e.g., hypertension) and chronic neuropathic pain conditions (e.g., complex regional pain syndrome). We aimed to develop a procedure for inducing adrenergic supersensitivity that could be used to investigate the role of catecholamines in these clinical conditions. In the first study, three doses of guanethidine were administered by iontophoresis to separate small patches of skin in the forearm of healthy human volunteers. Four to five hours later. the vasoconstrictor response to the adrenergic releasing agent tyramine was inhibited in a dose-dependent manner by iontophoretic pretreatment with guanethidine, indicating that guanethidine had depleted endogenous adrenergic stores. In a second study, guanethidine and saline were administered by iontophoresis four times over approximately 2 weeks at separate sites in the forearm. One to two days after the final pretreatment, vasoconstriction to the iontophoresis of a weak dose of noradrenaline was enhanced at sites pretreated with guanethidine. To investigate the effect of guanethidine pretreatment on thermal hyperalgesia. the experimental sites were sensitized to heat by the topical application of 0.6% capsaicin. Both before and after the application of capsaicin, the heat-pain threshold and heat-pain ratings to suprathreshold stimulation were similar at sites pretreated for 2 weeks with guanethidine or saline. However, after the iontophoresis of noradrenaline, thermal hyperalgesia was greater at the guanethidine-pretreated site than the saline pretreated site. These observations indicate that prolonged depletion of adrenergic stores by guanethidine induces adrenergic supersensitivity in cutaneous vessels, and that adrenergic supersensitivity enhances thermal hyperalgesia in the presence of noradrenaline."
False,effects tirofiban statins highsensitivity creactive protein interleukin soluble cd ligand following percutaneous coronary interventions patients stable coronary artery disease nan,15642557,statins,coronary artery disease,"This study assessed the effects of tirofiban and statins on high-sensitivity C-reactive protein, interleukin-6, and soluble CD40 ligand after percutaneous coronary intervention in patients who had stable coronary artery disease. Tirofiban insignificantly limited the increase of soluble CD40 ligand after revascularization, especially in patients who had high levels of this marker at baseline (p = 0.06), whereas statins significantly inhibited increases in interleukin-6 and, to a lesser extent, high-sensitivity C-reactive protein without affecting the soluble CD40 ligand."
True,allergic contact dermatitis following ocular use corticosteroids nan,21265627,corticosteroids,Allergic contact dermatitis,To study the clinical features and to identify the molecules responsible for contact-allergic reactions following ocular use of corticosteroid (CS) preparations.
True,loratadine cetirizine hydrochloride induced signs symptoms associated ocular dryness including increased corneal conjunctival staining decreased tfbut increased ocular discomfort healthy individualsnan,15562885,Loratadine,increased ocular discomfort,"Systemic antihistamines, such as loratadine and cetrizine hydrochloride, have proven efficacious in the control of many allergic conditions; however, patients complain about their drying effects."
False,nelfinavir viracept hiv protease inhibitor shown induce endoplasmic reticulum er stress reaction human cancer cellsnan,21329798,Nelfinavir,cancer,"Nelfinavir (Viracept®) is an HIV protease inhibitor that has been shown to induce the endoplasmic reticulum (ER) stress reaction in human cancer cells. Although the presumed drug doses needed for an efficient ER stress reaction and ensuing apoptosis in cancer cells is somewhat higher than those prescribed for HIV-infected persons, nelfinavir represents one of the few clinically applicable ER stress-inducing agents, and is currently being tested in clinical studies on cancer patients. Therefore, this chapter describes how to obtain and use nelfinavir for in vitro and in vivo studies. In addition, methods are described that might facilitate the analysis and monitoring of the nelfinavir-induced ER stress response either in cancer cells in cell culture or in cancer tissue biopsies. These methods include various fluorescence-based ER staining techniques and the expression analysis of primary and secondary ER stress markers by immunoblotting and RT-PCR analysis. Among the several methods presented, the analysis of an unconventional XBP1 splicing, caused by the ER stress sensor IRE1, is shown to present the most sensitive and most specific marker for nelfinavir-induced ER stress. Primers and PCR conditions suitable for XBP1 PCR and splicing analysis are presented. Such a PCR-based XBP1 splicing analysis might not only be suitable to monitor nelfinavir-induced ER stress, but could also be applied in drug screening programs to test for other ER stress-inducing agents with similar activities or synergistic activities with nelfinavir."
True,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even deathnan,22542152,aspirin,GI bleeding,"Low dose aspirin (ASA) use has been associated with a wide range of adverse side effects in the upper gastrointestinal (GI) tract, which range from troublesome symptoms without mucosal lesions to more serious toxicity, including ulcers, GI bleeding, perforation and even death. Upper GI symptoms in low dose ASA users are common but often careless or misinterpreted and they are not always related to the presence of mucosal injury. Usually, low dose ASA related ulcers are reasonably small and asymptomatic, and probably heal over a period of weeks to a few months. But, the real clinical problem occurs when the ulcer results in a GI complication (mostly bleeding). The estimated average excess risk of symptomatic or complicated ulcer related to low dose ASA is five cases per 1000 ASA users per year. Death is the worst outcome of GI complications in low dose ASA users, but data about this aspect are scarce. Current evidence indicates that low dose ASA can damage the lower GI tract also, but the real size of the problem is still unknown."
False,favourable outcome patients childhood acute promyelocytic leukaemia treatment reduced cumulative anthracycline dosesnan,20230404,anthracycline,acute promyelocytic leukaemia,"Acute promyelocytic leukaemia (APL) treatment often includes high cumulative doses of anthracyclines, which can cause long-term cardiotoxicity. Here, we report the favourable outcome in 81 paediatric APL patients treated according to the consecutive acute myeloid leukaemia-Berlin/Frankfurt/Muenster (AML-BFM) trials -93/-98/-2004 with an anthracycline-cytarabine regimen in combination with all-trans-retinoid acid (ATRA). Outcomes achieved by treatment with a reduced cumulative anthracycline dose (350 mg/m(2)) were comparable to those reported for studies with higher doses. Five-year overall survival of the total cohort was 89 +/- 4% and event-free survival (pEFS) was 73 +/- 6%. Overall survival was similar when comparing AML-BFM trial periods (trial 93: 88 +/- 8%, 98: 85 +/- 7% and 2004: 94 +/- 8%, P((logrank)) = 0.63). Seventy-five (93%) patients achieved complete remission. Most fatal events occurred during the first 6 weeks of treatment. Long-term cardiotoxicity was observed in one patient. Two patients suffered from secondary haematological malignancies. Salvage treatment was effective in 7/9 patients (78%) with relapsed APL, who now are long-term survivors after second line combination treatment with arsenic trioxide (4/7 patients) and stem cell transplantation (5/7 patients). Our results demonstrate that - combined with ATRA - a lower cumulative anthracycline dose can be used safely to maintain high cure rates and promote the reduction of long-term sequelae, such as cardiotoxicity in APL patients."
False,biomarkers drug effect including hax marker dna damage cleaved caspase markers apoptosis reduction ki marker cell proliferation quantified tumor sections relation functional blood vessels recognized dioc7 hypoxia recognized ef using immunohistochemistrynan,24338277,DiOC7,hypoxia,"Many chemotherapy drugs have poor therapeutic activity in regions distant from tumor blood vessels because of poor tissue penetration and low cytotoxic activity against slowly-proliferating cells. The hypoxia-activated pro-drug TH-302 may have selective toxicity for hypoxic and neighboring cells in tumors. Here we characterize the spatial distribution and ability of TH-302 to selectively target hypoxic regions and complement the effect of doxorubicin and docetaxel by modifying biomarker distribution. Athymic nude mice bearing human breast MCF-7 or prostate PC-3 tumors were treated with doxorubicin or docetaxel respectively and TH-302 alone or in combination. Biomarkers of drug effect including γH2aX (a marker of DNA damage), cleaved caspase-3 or -6 (markers of apoptosis) and reduction in Ki-67 (a marker of cell proliferation) were quantified in tumor sections in relation to functional blood vessels (recognized by DiOC7) and hypoxia (recognized by EF5) using immunohistochemistry. γH2aX expression at 10 min and cleaved caspase-3 or -6 at 24 hr after doxorubicin or docetaxel decreased with increasing distance from tumor blood vessels, with minimal expression in hypoxic regions; maximum reduction in Ki67 levels was observed in regions closest to vasculature at 24 hr. TH-302 induced maximal cell damage in hypoxic and neighboring regions, but was also active in tumor regions closer to blood vessels. TH-302 given 4 hr before doxorubicin or docetaxel increased DNA damage and apoptosis throughout the tumor compared to chemotherapy alone. When given with doxorubicin or docetaxel, TH-302 complements and enhances anticancer effects in both perivascular and hypoxic regions but also increases toxicity."
