verify_relationship,chemical_name,disease_name,pmid,relationship_info
no_relation,glucose,diabetes mellitus,9759691,crosssectional analysis data participants gubbio population study men women aged  years without macroalbuminuria without diabetes mellitus fasting plasma glucose levels less mmoll mg dlnan
yes_direct,flavone,A549 lung adenocarcinoma,9804172,promoter activation following induction pwaf gene flavone involved phase arrest lung adenocarcinoma cellsnan
no_relation,Flavone,cancer,9804172,flavone well known flavonoid many derivatives shown antiproliferative effects several cancer cellsnan
no_relation,flavone,lung adenocarcinoma,9804172,report flavone effectively inhibit cell growth human lung adenocarcinoma cells dosedependent manner microm flavone causes cell cycle arrest phasenan
no_relation,flavone,RB/retinoblastoma,9804172,mechanism underlying cell cycle arrest flavone markedly increases mrna protein levels universal inhibitor cyclindependent kinase pwaf inhibits phosphorylation retinoblastoma rb proteinnan
no_relation,flavone,RB,9804172,results suggest phase arrest flavone due pindependent transcriptional induction pwaf gene subsequent dephosphorylation rb proteinnan
yes_direct,sirolimus,toxicities,9808489,phase trial stable renal transplant recipients documented cyclosporine sirolimus overlapping toxicities conducted openlabel singlecenter phase iii doseescalation trial examine safety efficacy drug combinationnan
no_relation,cyclosporine,toxicities,9808489,phase trial stable renal transplant recipients documented cyclosporine sirolimus overlapping toxicities conducted openlabel singlecenter phase iii doseescalation trial examine safety efficacy drug combinationnan
no_relation,sirolimus,hypertensive,9808489,although sirolimus treated patients displayed comparatively lower platelet white blood cell counts higher levels serum cholesterol triglycerides sirolimus augment nephrotoxic hypertensive proclivities cyclosporinenan
no_relation,triglycerides,hypertensive,9808489,although sirolimustreated patients displayed comparatively lower platelet white blood cell counts higher levels serum cholesterol triglycerides sirolimus augment nephrotoxic hypertensive proclivities cyclosporinenan
no_relation,cholesterol,hypertensive,9808489,although sirolimustreated patients displayed comparatively lower platelet white blood cell counts higher levels serum cholesterol triglycerides sirolimus augment nephrotoxic hypertensive proclivities cyclosporinenan
no_relation,cyclosporine,hypertensive,9808489,although sirolimustreated patients displayed comparatively lower platelet white blood cell counts higher levels serum cholesterol triglycerides sirolimus augment nephrotoxic hypertensive proclivities cyclosporine nan
no_relation,estrogens,breast cancer,9816328,profound suppression plasma estrogens megestrol acetate postmenopausal breast cancer patientsnan
no_relation,megestrol acetate,breast cancer,9816328,profound suppression plasma estrogens megestrol acetate postmenopausal breast cancer patientsnan
no_relation,cortisol,breast cancer,9816328,twelve postmenopausal women suffering advanced breast cancer plasma estrogens androgens cortisol gonadotropins determined therapy treatment megestrol acetate oral doses escalated  mgnan
no_relation,estrogens,breast cancer,9816328,twelve postmenopausal women suffering advanced breast cancer plasma estrogens androgens cortisol gonadotropins determined therapy treatment megestrol acetate oral doses escalated  mgnan
no_relation,androgens,breast cancer,9816328,twelve postmenopausal women suffering advanced breast cancer plasma estrogens androgens cortisol gonadotropins determined therapy treatment megestrol acetate oral doses escalated  mgnan
no_relation,megestrol acetate,breast cancer,9816328,twelve postmenopausal women suffering advanced breast cancer plasma estrogens androgens cortisol gonadotropins determined therapy treatment megestrol acetate oral doses escalated  mgnan
no_relation,androgens,breast cancer,9816328,findings indicate causes profound suppression adrenal steroid production addition suppresses ovarian secretion androgens postmenopausal breast cancer patientsnan
no_relation,steroid,breast cancer,9816328,findings indicate causes profound suppression adrenal steroid production addition suppresses ovarian secretion androgens postmenopausal breast cancer patientsnan
no_relation,estrogens,breast cancer,9816328,reduction plasma estrogens comparable values obtained commonly used aromatase inhibitors may responsible antitumor effects breast cancer nan
no_relation,Mg/magnesium,hypokinesia,9823441,aim study evaluate effect magnesium mg loading mg mg kg body wt daily mg supplements mg mg kg body wt mg deficiency shown increased decreased serum mg concentration hypokinesia decreased km numberdnan
no_relation,Mg,SACS,9823441,shks sacs groups took daily mg elemental mg kg body wt subjected mg loading mg mg kg body wtnan
no_relation,Mg,hypokinetic,9823441,prehypokinetic hypokinetic periods excretion mg feces urine concentration mg serum mg balance measurednan
no_relation,Mg,SACS,9823441,shks uhks groups fecal mg loss urinary excretion electrolytes serum concentrations electrolytes increased significantly sacs uacs groupsnan
no_relation,Mg,SACS,9823441,mg loading tests urinary fecal mg excretion also greater shks uhks groups sacs uacs groupsnan
no_relation,Mg,SACS,9823441,throughout study mg balance negative shks uhks groups whereas sacs uacs groups mg balance positivenan
no_relation,Mg,HK,9823441,concluded significant losses mg occurred presence negative mg balance mg deficiency endurancetrained subjects prolonged exposure hk daily mg supplements mg loading testsnan
yes_direct,SSRI,sexual dysfunction,9825088,management ssri induced sexual dysfunction nan
yes_direct,serotonin,sexual dysfunction,9825088,describe occurrence management sexual dysfunction induced selective serotonin reuptake inhibitors ssris provide overview sexual dysfunction reports ssriinduced sexual dysfunction management strategiesnan
yes_direct,SSRI,sexual dysfunction,9825088,describe occurrence management sexual dysfunction induced selective serotoninreuptake inhibitors ssris provide overview sexual dysfunction reports ssri induced sexual dysfunction management strategiesnan
no_relation,nefazodone,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,fluoxetine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,bupropion,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,cyproheptadine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,yohimbine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,clomipramine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,sertraline,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,amantadine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,buspirone,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,paroxetine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,fluvoxamine,sexual dysfunction,9825088,indexing terms included sexual dysfunction antidepressants selective serotonergic reuptake inhibitors fluoxetine sertraline paroxetine fluvoxamine clomipramine buspirone nefazodone bupropion cyproheptadine amantadine yohimbine central nervous system stimulantsnan
no_relation,SSRI,sexual dysfunction,9825088,controlled studies describing ssri induced sexual dysfunction managementnan
yes_direct,fluoxetine,sexual dysfunction,9825088,ssriinduced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan
yes_direct,paroxetine,sexual dysfunction,9825088,ssriinduced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan
no_relation,fluvoxamine,sexual dysfunction,9825088,ssriinduced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan
yes_direct,sertraline,sexual dysfunction,9825088,ssriinduced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan
yes_direct,SSRI,sexual dysfunction,9825088,ssri induced sexual dysfunction described fluoxetine paroxetine sertraline fluvoxamine weeks therapynan
no_relation,serotonin,obsessive-compulsive disorder,9829022,role serotonin obsessivecompulsive disorder nan
yes_direct,Serotonin,obsessive-compulsive disorder/OCD,9829022,serotonin may play role pathophysiology obsessivecompulsive disorder ocd antiobsessional effect selective serotonin reuptake inhibitors ssrisnan
no_relation,homovanillic acid,OCD,9829022,ocd cases analysed csf hydroxyindoleacetic acid homovanillic acid concentrations significantly differ agecorrected controlsnan
no_relation,somatostatin,OCD,9829022,abnormalities csf arginine vasopressin corticotropinreleasing hormone oxytocin somatostatin levels reported ocd nan
no_relation,arginine vasopressin,OCD,9829022,abnormalities csf arginine vasopressin corticotropinreleasing hormone oxytocin somatostatin levels reported ocd nan
no_relation,oxytocin,OCD,9829022,abnormalities csf arginine vasopressin corticotropinreleasing hormone oxytocin somatostatin levels reported ocd nan
no_relation,clomipramine,neuropeptide abnormalities,9829022,longterm treatment highdoses clomipramine fluvoxamine fluoxetine tend correct neuropeptide abnormalities nan
no_relation,fluoxetine,neuropeptide abnormalities,9829022,longterm treatment highdoses clomipramine fluvoxamine fluoxetine tend correct neuropeptide abnormalities nan
no_relation,fluvoxamine,neuropeptide abnormalities,9829022,longterm treatment highdoses clomipramine fluvoxamine fluoxetine tend correct neuropeptide abnormalities nan
no_relation,serotonin,OCD,9829022,hypothesise continuous treatment ssris alters serotonin turnover neuropeptide expression patterns ocd entertaining functional forebrainmidbrain circuitsnan
no_relation,iron,ESRD/end-stage renal disease,9848632,study included endstage renal disease esrd patients performing chronic peritoneal home hemodialysis iron deficiency defined ferritin iron saturationnan
no_relation,iron,iron deficiency,9848632,study included endstage renal disease esrd patients performing chronic peritoneal home hemodialysis iron deficiency defined ferritin iron saturationnan
no_relation,iron,ESRD,9848632,total dose iron safe effective means restoring iron erythropoietic response esrd patients weighing kg receive renal replacement therapy homenan
no_relation,Methylene blue,methemoglobinemia,9867898,methylene blue intraosseous infusion methemoglobinemia nan
no_relation,methylene blue,methemoglobinemia,9867898,intraosseous administration standard intravenous doses methylene blue rapidly terminated effects acquired methemoglobinemia nan
no_relation,penicillin,peritonsillar abscess,9914550,results suggest intravenous penicillin remains excellent choice therapy cases peritonsillar abscess requiring parenteral antibiotics drainagenan
no_relation,chloroform,hepatic damage,9921434,contribution druginduced hepatic damage postoperative hepatic dysfunction remained unsettled since chloroform first incriminated nineteenth centurynan
no_relation,chloroform,hepatic dysfunction,9921434,contribution druginduced hepatic damage postoperative hepatic dysfunction remained unsettled since chloroform first incriminated nineteenth centurynan
yes_direct,chloroform,poisoning,9921434,drug condemned without attempt made determine incidence socalled delayed chloroform poisoning result drug still use chloroform controversy remains unsettled daynan
no_relation,chloroform,necrosis,9921434,babior davidson noted first drug implicated hepatic necrosis presumably exception chloroform first report appearing nan
no_relation,halothane,hepatitis,9921434,conducted definitive retrospective hypothesistesting studythe national halothane studydemanded halothane hepatitis controversy must move final stage epidemiological investigation experimental epidemiology investigating effects multiple administrations drugnan
no_relation,Paclitaxel,tumor,9925253,paclitaxel preferentially cytotoxic human cervical tumor cells low raf kinase activity implications paclitaxel based chemoradiation regimensnan
no_relation,paclitaxel,tumor,9925253,low raf kinase activity reported associated radioresistance epithelial tumor cell lines paclitaxel sensitivity cervical tumor cellsnan
no_relation,Paclitaxel,tumors,9925253,paclitaxel might thus effective eliminating radioresistant clones cervical tumors even absence synergistic interaction therapeutic modalitiesnan
no_relation,paclitaxel,tumor,9925253,thus established relationship raf kinase activity radiosensitivity human cervical tumor cells determined paclitaxel preferentially cytotoxic radioresistant tumor clonesnan
no_relation,paclitaxel,tumor,9925253,established contrasted radiation paclitaxel sensitivity human cervical tumor clones exhibited wide range raf kinase activitynan
no_relation,Paclitaxel,tumor,9925253,paclitaxel preferentially cytotoxic radioresistant tumor clones level paclitaxel induced cytotoxicity significantly  influenced raf kinase activity levelsnan
yes_direct,Paclitaxel,cytotoxicity,9925253,paclitaxel preferentially cytotoxic radioresistant tumor clones level paclitaxel induced cytotoxicity significantly  influenced raf kinase activity levelsnan
no_relation,paclitaxel,tumor,9925253,vitro data indicate marked completely opposite raf kinase dependencies radiation paclitaxel cytotoxicity cervical tumor cellsnan
no_relation,paclitaxel,cytotoxicity,9925253,vitro data indicate marked completely opposite raf kinase dependencies radiation paclitaxel cytotoxicity cervical tumor cellsnan
no_relation,paclitaxel,squamous cell carcinoma of the cervix,9925253,use combined paclitaxel radiotherapy treatment may thus lead higher local control rates squamous cell carcinoma cervix nan
no_relation,paclitaxel,tumor,9925253,circumstantially data suggest greatest therapeutic gains might accrue paclitaxel administered greatest proportion tumor clones low raf kinase activitynan
no_relation,glutathione,tumor,9988757,molecular mechanism regulation glutathione synthesis tumor necrosis factoralpha dexamethasone human alveolar epithelial cellsnan
no_relation,dexamethasone,necrosis,9988757,molecular mechanism regulation glutathione synthesis tumor necrosis factoralpha dexamethasone human alveolar epithelial cellsnan
no_relation,glutathione,necrosis,9988757,molecular mechanism regulation glutathione synthesis tumor necrosis factoralpha dexamethasone human alveolar epithelial cellsnan
no_relation,dexamethasone,tumor,9988757,molecular mechanism regulation glutathione synthesis tumor necrosis factoralpha dexamethasone human alveolar epithelial cellsnan
no_relation,GSH,tumor,9988757,studied regulation gsh synthesis response proinflammatory cytokine tumor necrosis factoralpha tnfalpha antiinflammatory agent dexamethasone human alveolar epithelial cellsnan
no_relation,dexamethasone,necrosis,9988757,studied regulation gsh synthesis response proinflammatory cytokine tumor necrosis factoralpha tnfalpha antiinflammatory agent dexamethasone human alveolar epithelial cellsnan
no_relation,GSH,necrosis,9988757,studied regulation gsh synthesis response proinflammatory cytokine tumor necrosis factoralpha tnfalpha antiinflammatory agent dexamethasone human alveolar epithelial cellsnan
no_relation,dexamethasone,tumor,9988757,studied regulation gsh synthesis response proinflammatory cytokine tumor necrosis factoralpha tnfalpha antiinflammatory agent dexamethasone human alveolar epithelial cellsnan
no_relation,prednisone,heart failure,10077512, patients active inflammation received prednisone mg kg weeks followed mg kg months azathioprine mg kg months addition conventional drug therapy heart failure nan
no_relation,azathioprine,heart failure,10077512, patients active inflammation received prednisone mg kg weeks followed mg kg months azathioprine mg kg months addition conventional drug therapy heart failure nan
no_relation,prednisone,inflammation,10077512, patients active inflammation received prednisone mg kg weeks followed mg kg months azathioprine mg kg months addition conventional drug therapy heart failurenan
no_relation,azathioprine,inflammation,10077512, patients active inflammation received prednisone mg kg weeks followed mg kg months azathioprine mg kg months addition conventional drug therapy heart failurenan
no_relation,MIBG,Carcinoid tumours/breast cancer,10197087,carcinoid tumours presenting breast cancer utility radionuclide imaging mibg indtpa pentetreotidenan
no_relation,pentetreotide,Carcinoid tumours/breast cancer,10197087,carcinoid tumours presenting breast cancer utility radionuclide imaging imibg indtpa pentetreotide nan
no_relation,fluorescein,asphyxia,10197511,superfusion paf cortex induced dosedependent increase leukocyte adherence cerebral venules leakage fluorescein  micromoll paf magnitude adherence bbb breakdown similar seen reoxygenation minutes asphyxia nan
no_relation,spiperone,schizophrenia,10202608,spiperone binding lymphocytes neurolepticnaive schizophrenia effect neuroleptic treatmentnan
no_relation,spiperone,schizophrenic/schizophrenia,10202608,aim study determine whether spiperone binding lymphocytes could serve biological marker susceptibility schizophrenia schizophrenic spectrum disorders measure response neuroleptic treatmentnan
no_relation,spiperone,schizotypal personality disorder,10202608,lymphocyte spiperone binding parameters bmax kd assessed patients schizophrenia patients schizotypal personality disorder neuroleptic naive age sexmatched control subjectsnan
no_relation,spiperone,schizophrenia,10202608,lymphocyte spiperone binding parameters bmax kd assessed patients schizophrenia patients schizotypal personality disorder neuroleptic naive age sexmatched control subjectsnan
no_relation,actinomycin,localized disease,10212915,seven patients localized disease stage iii six surviving patients received chemotherapy vincristine actinomycin patient received radiotherapynan
no_relation,vincristine,localized disease,10212915,seven patients localized disease stage iii six surviving patients received chemotherapy vincristine actinomycin patient received radiotherapynan
yes_direct,ACh/acetylcholine,AD/Alzheimer's disease,10332937,alzheimers disease ad associated deficiency acetylcholine ach forebrain correlates brain pathology cognitive dysfunctionnan
no_relation,ACh/acetylcholine,brain pathology,10332937,alzheimers disease ad associated deficiency acetylcholine ach forebrain correlates brain pathology cognitive dysfunctionnan
no_relation,ACh/acetylcholine,cognitive dysfunction,10332937,alzheimers disease ad associated deficiency acetylcholine ach forebrain correlates brain pathology cognitive dysfunction nan
no_relation,Donepezil,HCI,10332937,donepezil hci represents new chemical class ache inhibitors piperidinesnan
no_relation,piperidines,HCI,10332937,donepezil hci represents new chemical class ache inhibitors piperidines nan
no_relation,donepezil,AD,10332937,clinical trials donepezil shown improve significantly cognition global function patients mild moderately severe ad demonstrated excellent tolerability safety profilenan
no_relation,donepezil,AD,10332937,benefits well simple oncedaily dosing regimen make donepezil viable therapeutic option ad patientsnan
no_relation,androgen,prostate cancer,10337657,effect total androgen ablation pathologic stage resection limit status prostate cancer nan
no_relation,androgen,PCa/prostate cancer,10337657,undertook present analysis evaluate effect nht pathologic stage pca resection limit status patients prostate cancer treated total androgen ablation either three six months rpnan
no_relation,androgen,tumours,10337657, patients clinical stage whereas clinical stage three months total androgen ablation pathological stage prevalent among patients clinical tumours compared untreated patients treated patients vs untreatednan
no_relation,tyrosine,tumors,10359528,northern western blots tyrosine phosphorylation analysis showed hgf receptor overexpressed functional five tumors well two additional tumors nan
no_relation,chromium,dermatitis,10382555,therapeutic review ascorbic acid value chromium poisoning chromium dermatitis nan
yes_direct,chromium,poisoning,10382555,therapeutic review ascorbic acid value chromium poisoning chromium dermatitisnan
no_relation,ascorbic acid,dermatitis,10382555,therapeutic review ascorbic acid value chromium poisoning chromium dermatitis nan
no_relation,ascorbic acid,poisoning,10382555,therapeutic review ascorbic acid value chromium poisoning chromium dermatitisnan
yes_direct,chromium(VI),ulcers,10382555,repeated topical exposure chromium(vi) may cause allergic contact dermatitis formation chrome ulcers nan
yes_direct,chromium(VI),allergic,10382555,repeated topical exposure chromium(vi) may cause allergic contact dermatitis formation chrome ulcersnanmay could make third option right well
yes_direct,chromium(VI),dermatitis,10382555,repeated topical exposure chromium(vi) may cause allergic contact dermatitis formation chrome ulcersnan
yes_direct,chromium(VI),skin burns,10382555,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynan
yes_direct,chromium(VI),toxicity,10382555,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynan
no_relation,chromium(VI),poisoning,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
no_relation,ascorbic acid,dermatitis,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
no_relation,ascorbic acid,poisoning,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
no_relation,chromium,dermatitis,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
no_relation,chromium,poisoning,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
no_relation,chromium(VI),dermatitis,10382555,administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiiinan
yes_direct,ascorbic acid,toxicity,10382555,however administration parenteral ascorbic acid hours parenteral chromate experimental studies protect renal damage parenteral ascorbic acid given hours postparenteral chromate increased toxicity nan
no_relation,ascorbic acid,renal damage,10382555,however administration parenteral ascorbic acid hours parenteral chromate experimental studies protect renal damage parenteral ascorbic acid given hours postparenteral chromate increased toxicitynan
yes_direct,chromium,poisoning,10382555,addition confirmed clinical evidence administration ascorbic acid lessens morbidity mortality systemic chromium poisoning nan
no_relation,ascorbic acid,poisoning,10382555,addition confirmed clinical evidence administration ascorbic acid lessens morbidity mortality systemic chromium poisoning nanchromium poisoning poisoning
no_relation,ascorbic acid,ulcers,10382555,topical ascorbic acid claimed reduce significantly healing time experimentally induced chrome ulcers guinea pigsnan
no_relation,ascorbic acid,dermatitis,10382555,several case reports suggest topical ascorbic acid effective management chromium dermatitis confirmed controlled clinical trials moreover practical difficulties frequent application likely limit usefulnessnan
no_relation,ascorbic acid,toxicity,10382555,based experimental studies substantial amounts ascorbic acid would need administered preferably parenterally soon exposure prevent systemic toxicity chromium(vi) humansnan
yes_direct,chromium(VI),toxicity,10382555,based experimental studies substantial amounts ascorbic acid would need administered preferably parenterally soon exposure prevent systemic toxicity chromium(vi) humansnan
no_relation,ascorbic acid,renal failure,10382555,however ascorbic acid metabolic precursor oxalate administration ascorbic acid high dose could lead acute oxalate nephropathy particularly presence renal failure nan
yes_direct,ascorbic acid,acute oxalate nephropathy,10382555,however ascorbic acid metabolic precursor oxalate administration ascorbic acid high dose could lead acute oxalate nephropathy particularly presence renal failurenan
yes_direct,chromium,poisoning,10382555,smaller doses ascorbic acid eg intravenously toxic doses probably reduce mortality systemic chromium poisoning nan
no_relation,ascorbic acid,poisoning,10382555,smaller doses ascorbic acid eg intravenously toxic doses probably reduce mortality systemic chromium poisoning nan
no_relation,ascorbic acid,toxicity,10382555,currently insufficient evidence advocate use ascorbic acid management systemic chromium toxicity nan
yes_direct,chromium,toxicity,10382555,currently insufficient evidence advocate use ascorbic acid management systemic chromium toxicity nan
no_relation,cholesterol,ischemic,10383804,acute ischemic events treatment period persistently elevated serum cholesterol thereafter observations particular concern patients underlying basic mechanisms unknown datenan
no_relation,etoposide,testicular cancer,10383804,evaluate etoposide part standard treatment testicular cancer potential cause atherogenesis experimental modelnan
no_relation,linoleic acid,tumor/cancer,10386321,conjugated linoleic acid inhibits growth number human cancer cell lines suppresses chemicallyinduced tumor development number sites animal modelsnan
no_relation,linoleic acid,tumors,10386321,little dietary conjugated linoleic acid inhibits development rat mammary tumors independent amount type fat dietnan
no_relation,sphingosine,suppression of carcinogenesis,10386321,sphingomyelin metabolites ceramide sphingosine participates multiple antiproliferative pathways associated suppression carcinogenesis nan
no_relation,auristatin PE,Waldenstrom's macroglobulinemia,10402249,new tubulin polymerization inhibitor auristatin pe induces tumor regression human waldenstroms macroglobulinemia xenograft modelnan
no_relation,auristatin PE,tumor,10402249,new tubulin polymerization inhibitor auristatin pe induces tumor regression human waldenstroms macroglobulinemia xenograft modelnan
no_relation,auristatin PE,tumor,10402249,study investigated anti tumor effects auristatin pe structural modification marine shellless mollusk peptide constituent dolastatin nan
no_relation,Auristatin PE,WM,10402249,auristatin pe dolastatin added triplicate wells cell count viability assessed  results showed agents active wsu wm able induce complete growth inhibition pgmlnan
no_relation,auristatin PE,Tumor,10402249,tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectivelynan
no_relation,auristatin PE,tumor,10402249,activity auristatin pe evaluated tumor types clinical trialsnan
no_relation,vitamin E,cataract,10420210,role past intake vitamin early cataract changesnan
no_relation,vitamin E,cataract,10420210,examined association prior supplementation vitamin early cataract changes volunteers currently enrolled crosssectional vecat studynan
no_relation,Vitamin E,Cataract,10420210,vitamin cataract prevention study vecat clinical trial currently progress designed assess affect vitamin supplementation development progression cataract agerelated macular degenerationnan
no_relation,Vitamin E,macular degeneration,10420210,vitamin cataract prevention study vecat clinical trial currently progress designed assess affect vitamin supplementation development progression cataract agerelated macular degeneration nan
no_relation,vitamin E,nuclear opacity/NO,10420210,levels nuclear opacity  statistically different reported intake prior vitamin supplementationnan
no_relation,vitamin E,cataracts,10420210,prior vitamin supplementation may protect vecat participants developing least early cortical cataracts nan
no_relation,acetylcholine,trachea,10422636,modulation acetylcholine release parasympathetic nerves innervating guineapig human trachea endomorphin nan
no_relation,naloxone,trachea,10422636,endomorphin muopioid receptor agonists produced concentrationdependent naloxone sensitive inhibition cholinergic contractile responses guineapig trachea microm    respectivelynan
no_relation,acetylcholine,trachea,10422636,endomorphin also inhibited electricallyevoked acetylcholine release cholinergic nerves innervating guineapig microm   microm  respectively human trachea microm    respectivelynan
no_relation,Naloxone,trachea,10422636,naloxone prevented inhibition endomorphin guineapig human trachea suggesting peptides inhibit cholinergic parasympathetic neurotransmission airways via activation classical opioid receptorsnan
yes_direct,misoprostol,fetal distress,10454679,trials also indicate increased frequencies meconium passage neonatal acidemia cesarean delivery fetal distress women receiving higher doses misoprostol nan
yes_direct,misoprostol,acidemia,10454679,trials also indicate increased frequencies meconium passage neonatal acidemia cesarean delivery fetal distress women receiving higher doses misoprostol nan
no_relation,nitric oxide,asthma,10461936,circadian variation exhaled nitric oxide nocturnal asthma nan
no_relation,nitric oxide,inflammation,10461936,exhaled nitric oxide eno measurement appears noninvasive marker airway inflammation examined hypothesis eno would increase nightnan
yes_direct,nitric oxide,asthma,10461936,significant decrease eno nocturnal asthma may reflect important chronobiological defect endogenous production andor increased disposition nitric oxide view bronchodilator action could play role nocturnal exacerbations asthma nan
no_relation,cyclosporin,neurological involvement,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,prednisolone,neurological involvement,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,cyclosporin,Cogan's syndrome,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,prednisolone,inflammation,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,prednisolone,Cogan's syndrome,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,cyclosporin,inflammation,10464564,describe case cogans syndrome neurological involvement early treatment combination therapy prednisolone cyclosporin failed bring ear inflammation controlnan
no_relation,testosterone,osteoporosis,10468898,effects testosterone osteoporosis mennan
no_relation,testosterone,osteoporosis,10468898,although pathogenesis osteoporosis men multifactorial testosterone known play important role maintenance male skeletonnan
no_relation,Testosterone,hypogonadal osteoporosis,10468898,testosterone replacement therapy improves bone density men hypogonadal osteoporosis particularly epiphyses still opennan
no_relation,testosterone,idiopathic osteoporosis,10468898,wellestablished treatment idiopathic osteoporosis men testosterone supplementation may prove usefulnan
no_relation,nitric oxide,hyperoxia,10471386,effects exogenous nitric oxide hyperoxia lung fibroblast viability dna fragmentationnan
no_relation,NO,cytotoxicity,10471386,primary cultures normal human lung fibroblasts exposed room air ra oxygen either  ppm blended ra blended incubated  cell viability determined fluorescence viability cytotoxicity assay dna fragmentation tunel assaynan
no_relation,oxygen,cytotoxicity,10471386,primary cultures normal human lung fibroblasts exposed room air ra oxygen either  ppm blended ra blended incubated  cell viability determined fluorescence viability cytotoxicity assay dna fragmentation tunel assaynan
no_relation,O(2),cytotoxicity,10471386,primary cultures normal human lung fibroblasts exposed room air ra oxygen either  ppm blended ra blended o(2) incubated  cell viability determined fluorescence viability cytotoxicity assay dna fragmentation tunel assaynan
no_relation,corticosteroids,pneumocystis pneumonia,10498175,clinical picture consistent pneumocystis pneumonia antibiotic therapy corticosteroids initiatednan
