boolean_relationship,chemical_name,disease_name,all_info
False,alanine,fibrosis,levels icam vcam hyaluronic acid correlated alanine aminotransferase levels hcvrnapolymerase chain reaction status histological fibrosis scoringnancell adhesion molecules intracellular adhesion molecule icam vascular cell adhesion molecule vcam hyaluronic acid markers inflammation fibrosis monitored hepatitis patients determine whether changes plasma levels antiviral treatment predict longterm response therapy
False,adenosine,tumor,linear relationships high correlations observed levels two guanosine adenosine guanosineadducts normal tumor tissuenanstudy formation cisplatindna adducts concurrent cisplatinradiation relationship adductformation primary tumor tissue normal tissue investigated
False,corticosteroids,melasma,use broadspectrum sunscreen important lightening agents like retinoic acid tretinoin azelaic acid combination therapies containing hydroquinone tretinoin corticosteroids used treatment melasma thought increased efficacy compared monotherapynanmelasma hypermelanosis face common skin problem middleaged women racial groups especially dark complexion precise etiopathogenesis evasive genetic influences exposure sunlight pregnancy oral contraceptives estrogenprogesterone therapies thyroid dysfunction cosmetics drugs proposed centrofacial malar mandibular wellrecognized epidermal pigmentation appears brownblack dermal blue color distinguished woods lamp illumination difference may inapparent mixed type melasma skin types vi increase melanin epidermis basal suprabasal layers andor dermis prime defect increased expression tyrosinase related protein involved eumelanin synthesis use broadspectrum sunscreen important lightening agents like retinoic acid tretinoin azelaic acid combination therapies containing hydroquinone tretinoin corticosteroids used treatment melasma thought increased efficacy compared monotherapy quasidrugs placental extracts ellagic acid chamomilla extract butylresorcinol tranexamic acid methoxy potassium salicylate adenosine monophosphate disodium salt dipropylbiphenyldiol hydroxyphenylbutanol tranexamic acid cetyl ester hydrochloride addition kojic ascorbic acid used chemical peeling good adjunct laser treatment worthwhile
False,tobramycin,cystic fibrosis,absence cochleotoxicity measured standard highfrequency pure tone audiometry trial versus threetimesdaily tobramycin cystic fibrosis patientsnanundertook assessment hearing patients cystic fibrosis taking part large randomized controlled trial versus threetimesdaily tobramycin pulmonary exacerbations cystic fibrosis topic study patients eligible standard pure tone audiometry performed across frequency range  khz highfrequency pure tone audiometry  khz also performed subset patients audiometry undertaken start tobramycin treatment end day course treatment followup  weeks later enrolled patients  children adults completed treatment nineteen patients excluded analysis due abnormal baseline audiometry complete pre posttreatment standard audiological data obtained patients found significant differences hearing thresholds assessed baseline end treatment followup  weeks later compared addition significant differences hearing thresholds detected treatment regimens similar results obtained subset patients underwent highfrequency audiometry conclude single day course tobramycin treatment patients cystic fibrosis preexisiting auditory deficit measurable effect hearing apparent either threetimesdaily treatment estimation cumulative cochleotoxic risk cystic fibrosis patients due repeated aminoglycoside therapy evidenced patients excluded study due hearing loss also requires characterization
False,ketotifen fumarate,ATS,patients sac included study randomly assigned  groups topical ketotifen fumarate ophthalmic solution topical olopatadine hcl ophthalmic solution ats control groupnantopical antiallergic agents antihistamines mastcell stabilizers main therapeutic options seasonal allergic conjunctivitis sac ketotifen fumarate olopatadine hcl dual action offers combination mechanisms although clinical studies comparing efficacy drugs shown effective treatment sac results contradictory include effects drugs inflammatory markers
False,amlodipine,hypertension,efficacy fixeddose combination therapy treatment patients hypertension focus amlodipine valsartannanearly initiation rational effective combination therapy consisting antihypertensive drugs two different complementary mechanisms actions increasingly becoming accepted clinical practice guidelines firstline approach control blood pressure bp prevent cardiovascular outcomes patients hypertension oncedaily combination therapy provides rapid control bp important preventing cardiovascular events similar improved tolerability compared component monotherapies improved adherence regimen simplification combination therapy calcium channel antagonist calcium channel blocker ccb inhibitor reninangiotensinaldosterone system raas rational approach achieve bp goals provide protection renal cardiovascular morbidity mortality number ccbraas inhibitor combinations including ccbangiotensinconverting enzyme ace inhibitor ccb angiotensin ii type receptor antagonist angiotensin receptor blocker arb combinations available fixeddose formulations substantial evidence bplowering efficacy ccbraas inhibitor combinations diverse patient populations use combination associated favourable tolerability fewer adverse metabolic effects combination therapies recent evidence large outcome trials supports use ccbraas inhibitor combinations reducing risk cardiovascular renal events particularly highrisk patients together evidence benefits ccbraas inhibitor combinations may extend beyond efficacy lowering bp terms protecting fatal nonfatal stroke myocardial infarction cardiovascularrelated deaths efficacy ccb amlodipine arb valsartan lowering bp protecting cardiovascular events stroke across range hypertensive patient populations established many years fixeddose amlodipinevalsartan combinations available many countries shown greater bp reductions better bp control respective monotherapies diverse patient populations together favourable tolerability profile oncedaily amlodipinevalsartan rational convenient treatment option effective management patients hypertension improving adherence antihypertensive medication protecting cardiovascular renal morbidity mortality
True,Glyceryl trinitrate,migraine without aura,glyceryl trinitrate induces attacks migraine without aura sufferers migraine aurananmigraine aura migraine without aura pain phase thus indicating migraine aura migraine without aura share common pathway nociception recent years increasing evidence suggested messenger molecule nitric oxide involved pain mechanisms migraine without aura order clarify whether true migraine aura present study examined headache response intravenous infusion glyceryl trinitrate gtn microgkgmin min sufferers migraine aura specific aim elucidate whether aura andor attack migraine without aura could induced fourteen healthy subjects served controls aura symptoms elicited subject headache severe migraineurs controls immediately gtn infusion well following  controls gtninduced headache gradually disappeared whereas migraineurs peak headache intensity occurred mean time min postinfusion time induced headache  migraineurs fulfilled diagnostic criteria migraine without aura international headache society results therefore suggest involved pain mechanisms migraine aura since cortical spreading depression shown liberate animals finding may help understanding coupling cortical spreading depression headache migraine aura
False,manidipine,diabetic,conclusion delapril manidipine effective reduction microalbuminuria normotensive type diabetic patients persistent microalbuminuriananstudy designed investigate effect delapril ace inhibitor manidipine long action calcium antagonist persistent microalbuminuria normotensive type diabetic patients sixty type diabetic patients randomized take delapril mgday manidipine mgday weeks open label design twenty eight thirty subjects delapril group twenty nine thirty manidipine group completed study urine albumin excretion measured urinary albumin creatinine ratio decreased significantly groups  mgg  mgg delapril manidipine group respectively mgg significant changes fasting plasma glucose hbac serum fructosamine creatinine potassium lipid profiles weeks treatment groups two cases delapril group withdrawn study intolerable cough one case manidipine group intolerable dizziness headache conclusion delapril manidipine effective reduction microalbuminuria normotensive type diabetic patients persistent microalbuminuria
True,rosuvastatin,diabetes,increase physicianreported diabetes following rosuvastatin treatment justification use statins prevention intervention trial evaluating rosuvastatin study raised concerns whether statin exerts detrimental effect glucose metabolismnanincrease physicianreported diabetes following rosuvastatin treatment justification use statins prevention intervention trial evaluating rosuvastatin study raised concerns whether statin exerts detrimental effect glucose metabolism assessed effect rosuvastatin treatment across dose range glucose homeostasis hyperlipidaemic patients impaired fasting glucose ifg high risk develop diabetes mellitus
True,5-fluorouracil,ocular toxicity,important oncologist ophthalmologist aware potential ocular toxicity 5-fluorouracil nanocular side effects systemic 5-fluorouracil therapy include excessive lacrimation often resolves cessation therapy permanent stenosis lacrimal puncta canaliculi rare report highlights uncommon complication 5-fluorouracil therapy
True,cocaine,chest pain, patients men women aged  years undergoing catheterization chest pain heart rate mean arterial pressure coronary arterial area computerassisted quantitative angiography measured baseline  minutes intranasal cocaine  mgkg  minutes intravenous saline  labetalol mgkg nanalthough labetalol sometimes given patients cocaineassociated chest pain influence cocaineinduced coronary vasoconstriction unknown
False,Atorvastatin,vascular abnormalities,atorvastatin failed afford protection vascular abnormalities presence constitutively active mutant racnanatorvastatin exerts beneficial vascular effects diabetes underlying mechanisms yet elucidated aim present study determine whether rac involved effect atorvastatin oxidative stress vascular dysfunction
False,carvedilol,AD,novel observation carvedilol interferes neuropathologic biochemical electrophysiological mechanisms underlying cognitive deterioration ad supports potential development carvedilol treatment ad nanoligomeric amyloid recently linked synaptic plasticity deficits play major role progressive cognitive decline alzheimers disease ad present evidence chronic oral administration carvedilol nonselective adrenergic receptor blocker significantly attenuates brain oligomeric amyloid content cognitive deterioration independent ad mouse models found carvedilol treatment significantly improved neuronal transmission improvement associated maintenance number less stable learning thin spines brains ad mice novel observation carvedilol interferes neuropathologic biochemical electrophysiological mechanisms underlying cognitive deterioration ad supports potential development carvedilol treatment ad
False,fentanyl,opioid rotation,although recent studies suggest opioid rotation could effective treatment strategy morphineinduced delirium prospective studies investigate treatment effects opioid rotation using fentanyl nanalthough recent studies suggest opioid rotation could effective treatment strategy morphineinduced delirium prospective studies investigate treatment effects opioid rotation using fentanyl primary aim study clarify efficacy opioid rotation morphine fentanyl symptom palliation morphineinduced delirium twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl physicians recorded symptom severity delirium memorial delirium assessment scale mdas pain symptoms categorical verbal scale none severe schedule team assessment scale stas none extreme performance status time study enrollment three seven days patients recruited one patient complete study remaining patients morphine substituted transdermal fentanyl patients parenteral fentanyl patients total opioid dose increased mg oral morphine equivalentday day  mgday day median increase total opioid dose treatment success defined mdas score pain score less obtained patients day  patients day mean mdas score significantly decreased day  days  respectively
True,Melatonin,HCC/apoptosis in hepatocellular carcinoma,melatonin induces apoptosis hepatocellular carcinoma hcc experimental studies effects melatonin endoplasmic reticulum er stressinduced apoptosis hcc testednanendoplasmic reticulum stressmediated cell apoptosis implicated development cancer melatonin induces apoptosis hepatocellular carcinoma hcc experimental studies effects melatonin endoplasmic reticulum er stressinduced apoptosis hcc tested differences er stressinduced apoptosis human hepatoma cells normal human hepatocyte investigated exposure tunicamycin er stress inducer significant differences observed rate apoptosis hepg cells hepatoma cells hl cells normal human hepatocyte cells expression cyclooxygenase cox increased hepg cells hl cells furthermore downregulation cox expression using cox inhibitor celecoxib increased tunicamycininduced apoptosis concomitant upregulation proapoptotic transcription factor chop gadd downregulation bcell lymphoma bclassociated protein bclbax ratio suggesting inhibition cox sensitized human hepatoma cells er stressinduced apoptosis interestingly cotreatment tunicamycin melatonin also decreased expression cox significantly increased rate apoptosis elevating levels chop reducing bclbax ratio results demonstrate melatonin sensitizes human hepatoma cells er stressinduced apoptosis downregulating cox expression increasing levels chop decreasing bclbax ratio
False,calcium,nausea,taxine taxine toxic alkaloids taxus block cardiac sodium calcium channels causing nausea vomiting abdominal pain cardiac arrhythmias respiratory distress coma seizures death yew poisoningnanyew taxus baccata conifer known toxic since ancient times taxine taxine toxic alkaloids taxus block cardiac sodium calcium channels causing nausea vomiting abdominal pain cardiac arrhythmias respiratory distress coma seizures death yew poisoning
True,12(S)-HETE,SCID,adhesion lung metastasis human melanoma cells nod scid mice also potentiated cotreatment 12(s)-hete nanlipoxygenase lox nonhaeme ironcontaining dioxygenase forms shydroxyeicosatetraenoic acid shete shete several biological mediators including cytokines growth factors lipid metabolites released tumour cellendothelial cell adhesion associated malignant tumour progression found hetes released host organ played critical role tumour metastasis intravenous injection bf melanoma cells caused lung nodule formation markedly attenuated lox null mice coinjection melanoma cells 12(s)-hete increased lung homing activity bf melanoma cells vitro studies showed 12(s)-hete shete treatment resulted concentrationdependent increase adhesion bf cells collagen fibronectin melanoma cell adhesion evaluated pulmonary primary cell culture isolated wildtype wt lox knockout ko mice found adhesion melanoma cells epithelial cells isolated lox null mice reduced comparison isolated wt mice treatment 12(s)-hete increased pfak melanoma cells adhering collagencoated slide enhancement adherence elicited 12(s)-hete bf cells could antagonised focal adhesion kinase fak inhibitor fak inhibitor pd extracellular signalregulated kinase erk inhibitor 12(s)-hete increased phosphorylation fak erk adhering melanoma cells fak phosphorylation induced 12(s)-hete inhibited pd indicating fak downstream target erk adhesion lung metastasis human melanoma cells nodscid mice also potentiated cotreatment shete results demonstrate sheteshete activates erk fak signalling pathways thereby upregulates adhesion metastatic potential melanoma cells endogenous release sheteshete host organ may affect metastatic potential melanoma
False,thalidomide,cancers,review describes emerging immunological properties thalidomide historical context presentday clinical applications notably multiple myeloma also cancers inflammatory disease hivnanthalidomide recently shown considerable promise treatment number conditions leprosy cancer effectiveness clinic ascribed wideranging properties including antitnfalpha tcell costimulatory antiangiogenic activity novel compounds improved immunomodulatory activity side effect profiles also evaluated include selective cytokine inhibitory drugs selcids greatly improved tnfalpha inhibitory activity immunomodulatory drugs imids structural analogs thalidomide improved properties third group recently identified within selcid group phosphodiesterase type independent activity process characterized laboratory studies review describes emerging immunological properties thalidomide historical context presentday clinical applications notably multiple myeloma also cancers inflammatory disease hiv also describe laboratory studies led characterization development selcids imids potentially clinically relevant drugs early trial data suggest novel immunomodulatory compounds may supercede thalidomide become established therapies particularly certain cancers evidence required however correlate clinical efficacy compounds known immunomodulatory antiangiogenic antitumor properties
True,probenecid,pancytopenia,severe pancytopenia patient taking low dose methotrexate probenecid nanpatient rheumatoid arthritis developed lifethreatening pancytopenia resulting low dose oral methotrexate mtx toxicity potentiated probenecid clinically significant drug interactions frequently cited risk factors mtx hematologic toxicity low dose mtx gaining increasing popularity rheumatologic practice potentially serious interactions considered
True,coumadin,bleeding,complications coumadin group minor bleeding thigh one patient generalised ecchymosis whole body onenancomparative study efficacy coumadin aspirin primary cardioembolic stroke prevention chronic rheumatic heart disease mitral stenosis atrial fibrillation conducted siriraj hospital mahidol university bangkok thailand seventynine patients enrolled trial allocation patients coumadin aspirin groups depended upon patients choice nineteen patients given coumadin adjusted dosage maintain therapeutic range international normalised ratio sixty patients given aspirin fixed dosage mg per day six patients lost followup yr period four aspirin group coumadin group three patients nonfatal cardioembolic stroke aspirin group none coumadin group three years followup six patients mitral valve replacement study ie three patients group complications patients aspirin per cent coumadin per cent group complications coumadin group minor bleeding thigh one patient generalised ecchymosis whole body one aspirin group complication gastrointestional symptoms mainly epigastric pain frank bleeding observed primary prevention cardioembolic stroke chronic rheumatic heart disease found effective coumadin aspirin study support use aspirin primary prevention cardiac embolism chronic rheumatic heart disease
False,4'-0-tetrahydropyranyladriamycin/Pirarubicin,tumors,phase study intravenous iv bolus tetrahydropyranyladriamycin pirarubicin done patients good performance status refractory tumors study pirarubicin done patients existing tumors stated link pirarubicin tumorsphase study intravenous iv bolus tetrahydropyranyladriamycin pirarubicin done patients good performance status refractory tumors twentysix minimal prior therapy good risk extensive prior therapy poor risk six renal andor hepatic dysfunction total courses doses  mgm evaluable maximum tolerated dose goodrisk patients mgm poorrisk patients mgm doselimiting toxic effect transient noncumulative granulocytopenia granulocyte nadir day range less frequent toxic effects included thrombocytopenia anemia nausea mild alopecia phlebitis mucositis myelosuppression patients hepatic dysfunction pharmacokinetic analyses patients revealed pirarubicin plasma alpha se  minutes beta   minutes gamma  hours area curve  ngml hours volume distribution vd  lm total clearance clt  lhourm adriamycinol doxorubicin adriamycinone tetrahydropyranyladriamycinol metabolites detected plasma amount doxorubicin less equal total metabolites urinary excretion pirarubicin first hours less equal activity noted mesothelioma leiomyosarcoma basal cell carcinoma recommended starting dose phase ii trials mgm iv bolus every weeks
True,Oxaliplatin,colorectal carcinoma,oxaliplatin results colorectal carcinoma nanoxaliplatin platinum compound characterized diaminocyclohexane dach platinum carrier ligand proven efficacy first secondline advanced colorectal cancer crc treatment acute reversible cumulative peripheral sensory neuropathy observed frequently oxaliplatin treatment limits use synergism drugs well different mechanism action toxicity profile make attractive candidate combination studies crc combined safely 5-fluorouracil fufolinic acid lv irinotecan raltitrexed multitarget antifolate ly mta oral 5-fu prodrugs combinations confer increased response rate compared single agent increased secondary surgical resection initially unresectable metastases possibly leading prolonged survival three prospective randomized phase iii studies advanced crc oxaliplatin plus fulv improved significantly progressionfree survival without significant increase median survival time without affecting quality life compared treatment fulv ongoing clinical trials define role adjuvant setting
True,perindopril,effective stroke reduction,lower withinindividual visittovisit variability blood pressure readings amlodipine perindopril combination treatment arm ascot study shown account effective stroke reduction rate combination compared atenolol diureticbased therapies despite overall similar blood pressure loweringnanlower withinindividual visittovisit variability blood pressure readings amlodipineperindopril combination treatment arm ascot study shown account effective stroke reduction rate combination compared atenolol diureticbased therapies despite overall similar blood pressure lowering
False,levodopa,idiopathic Parkinson's disease,tiapride substituted benzamide derivative closely related metoclopramide reduced levodopa induced peak dose involuntary movements patients idiopathic parkinson's disease nantiapride substituted benzamide derivative closely related metoclopramide reduced levodopainduced peak dose involuntary movements patients idiopathic parkinsons disease however unacceptable increase disability parkinsonism aggravation endofdose akinesia led cessation patients tiapride effect levodopainduced early morning offperiod segmental dystonia results fail support notion levodopainduced dyskinesias caused overstimulation separate group dopamine receptors
True,beta-adrenergic blocking drugs,bradycardia,three patients ischaemic heart disease developed profound cardiac failure hypotension bradycardia combined therapy verapamil betaadrenergic blocking drugs nanthree patients ischaemic heart disease developed profound cardiac failure hypotension bradycardia combined therapy verapamil betaadrenergic blocking drugs clinical picture resolved completely cessation combined therapy baseline left ventricular function assessed cardiac catheterisation nuclear angiography normal two patients mildly reduced simultaneously administration betaadrenergic blocking drugs verapamil may result profound adverse interactions administered great caution
True,aspirin,respiratory disease,clinical course patients aspirin exacerbated respiratory disease predict prognosisnanstudy aimed identify prognostic factors aspirinexacerbated respiratory disease comparing clinical genetic data clinical course
True,epinephrine/EP,thrombosis,present study undertaken investigate effects tet fan experimental thrombosis induced collagen plus epinephrine ep mice platelet aggregation blood coagulation vitrothrombosis induced caused collagen epinephrinetetrandrine tet fangchinoline fan two naturally occurring analogues bisbenzylisoquinoline structure present study undertaken investigate effects tet fan experimental thrombosis induced collagen plus epinephrine ep mice platelet aggregation blood coagulation vitro vivo study administration mgkg ip tet fan mice showed inhibition thrombosis  respectively acetylsalicylic acid asa mgkg ip positive control showed inhibition vitro human platelet aggregations induced agonists used tests tet fan showed inhibitions dose dependently addition neither tet fan showed anticoagulation activities measurement activated partial thromboplastin time aptt prothrombin time pt thrombin time tt using humancitrated plasma results suggest antithrombosis tet fan mice may mainly related antiplatelet aggregation activities
False,doxorubicin,obese,conclusion hfdinduced obese rats highly sensitized doxorubicin induced cardiotoxicity substantially downregulating cardiac mitochondrial atp generation increasing oxidative stress downregulating jakstat pathwaynanoften chemotherapy doxorubicin adriamycin limited due life threatening cardiotoxicity patients posttherapy recently shown moderate diet restriction remarkably protects doxorubicininduced cardiotoxicity cardioprotection accompanied decreased cardiac oxidative stress triglycerides increased cardiac fattyacid oxidation atp synthesis upregulated jakstat pathway current study investigated whether physiological intervention feeding high fat diet hfd induces obesity male spraguedawley rats sensitizes doxorubicininduced cardiotoxicity ld dose mg doxorubicinkg ip administered day hfd feeding regimen led higher cardiotoxicity cardiac dysfunction lipid peroxidation mortality obese ob rats absence significant renal hepatic toxicity doxorubicin toxicokinetics studies revealed change accumulation doxorubicin doxorubicinol toxic metabolite normal dietfed nd ob hearts mechanistic studies revealed ob rats sensitized due higher oxyradical stress leading upregulation uncoupling proteins  downregulation cardiac peroxisome proliferators activated receptoralpha decreased plasma adiponectin levels decreased cardiac fattyacid oxidation nmolming heart nd versus nmolming heart ob decreased mitochondrial ampalpha protein kinase  drop cardiac atp levels accompanied decreased atpadp ratio doxorubicin administration decreased cardiac erythropoietin increased socs downregulated cardioprotective jakstat pathway conclusion hfdinduced obese rats highly sensitized doxorubicininduced cardiotoxicity substantially downregulating cardiac mitochondrial atp generation increasing oxidative stress downregulating jakstat pathway
False,carvedilol,AD mouse,present evidence chronic oral administration carvedilol nonselective adrenergic receptor blocker significantly attenuates brain oligomeric amyloid content cognitive deterioration independent ad mouse modelsnanoligomeric amyloid recently linked synaptic plasticity deficits play major role progressive cognitive decline alzheimers disease ad present evidence chronic oral administration carvedilol nonselective adrenergic receptor blocker significantly attenuates brain oligomeric amyloid content cognitive deterioration independent ad mouse models found carvedilol treatment significantly improved neuronal transmission improvement associated maintenance number less stable learning thin spines brains ad mice novel observation carvedilol interferes neuropathologic biochemical electrophysiological mechanisms underlying cognitive deterioration ad supports potential development carvedilol treatment ad
False,MPAG,GGT,high csa associated elevated ggt probably cholestatic effects explain increased mpag tompa rationantherapeutic drug monitoring mycophenolic acid mpa combination cyclosporine concentration csa  tacrolimus trough concentration  investigated repeated measurements mpa mpaglucuronide mpag trough concentrations renal allograft recipients first months posttransplant acute rejection rate lower vs 
True,cholesterol,Gallstones,gallstones recovered two patients found high cholesterol content suggesting formed cholesterol supersaturated bilenanstone high cholesterol wasnt causedfive fortyfive adult men years age less received least six months medroxyprogesterone acetate mpa depo provera im mgweek prevention sexoffending genitalmutilating behavior developed symptomatic cholelithiasis thirty men studied gallbladder ultrasound prospectively mpa sixmonth intervals taking medication six months mpa gallstones recovered two patients found high cholesterol content suggesting formed cholesterol supersaturated bile findings consistent increased incidence gallbladder disease related highprogesterone states suggest mpa may causative agent cholelithiasis physiologic studies gallbladder contraction cholecystokinin release subset patients failed provide information mechanism possible increased incidence gallbladder disease
False,serotonin,oral bleeding complications,selective serotonin reuptake inhibitors oral bleeding complications invasive dental treatmentnanpurpose study examine frequency oral bleeding complications invasive dental procedures patients taking selective serotonin reuptake inhibitor ssri medications
True,estrogens,breast cancer,estrogens involved breast cancer onset progression response steap 17beta-estradiol investigated mammary gland rats human breast cancer cell line mcfnansix transmembrane epithelial antigen prostate steap identified prostatespecific cellsurface antigen overexpressed prostate cancer human cancer cell lines obtained several tissues cell surface location tumor types analyzed far absence vital organs humans turned steap potential target antitumor immunotherapy study provides experimental evidence steap also overexpressed human breast cancer cases normal breast tissue adjacent breast tumors localized cell membrane epithelial cells also demonstrated steap transcription correlates negatively estrogen receptor er immunoreactivity positively tumor grading breast cancer cases estrogens involved breast cancer onset progression response steap 17beta-estradiol investigated mammary gland rats human breast cancer cell line mcf experiments demonstrated steap downregulated models mechanisms underlying steap response vitro investigated mcf cells results obtained suggest effect mediated membranebound eralpha mberalpha
True,doxorubicin,cytotoxicity,treatment resistant cells verapamil intracellular levels doxorubicin markedly increased consequent cytotoxicity improvednanimproved key termwellknown mechanism leading emergence multidrugresistant tumor cells overexpression pglycoprotein pgp capable lowering intracellular drug concentrations overcome problem tested capability two peptide vectors able cross cellular membranes deliver doxorubicin pgpexpressing cells antitumor effect peptideconjugated doxorubicin tested human erythroleukemic adr resistant cells conjugate showed potent dosedependent inhibition cell growth kadr cells compared doxorubicin alone doxorubicin exhibited ic concentrations microm resistant cells whereas vectorized doxorubicin effective ic concentrations microm treatment resistant cells verapamil intracellular levels doxorubicin markedly increased consequent cytotoxicity improved contrast treatment resistant cells verapamil cause enhancement cell uptake cytotoxic effect conjugated doxorubicin indicating conjugate bypasses pgp finally show situ brain perfusion method pgpdeficient competent mice vectorized doxorubicin bypasses pgp present luminal site bloodbrain barrier results indicate vectorization doxorubicin peptide vectors effective overcoming multidrug resistance
True,fentanyl,hypoventilation,contraindicated management acute postoperative pain pain may decrease rapidly circumstances fentanyl blood levels adjusted leading development lifethreatening hypoventilation nantransdermal fentanyl effective well tolerated treatment chronic pain caused malignancy nonmalignant conditions administered according manufacturers recommendations compared oral opioids advantages transdermal fentanyl include lower incidence impact adverse effects constipation nausea vomiting daytime drowsiness higher degree patient satisfaction improved quality life improved convenience compliance resulting administration every hours decreased use rescue medication transdermal fentanyl useful analgesic cancer patients unable swallow gastrointestinal problems transdermal fentanyl forms depot within upper skin layers entering microcirculation therapeutic blood levels attained hours patch application decrease slowly halflife hours following removal patients chronic pain titrated adequate relief shortacting oral parenteral opioids prior initiation transdermal fentanyl order prevent exacerbations pain opioidrelated adverse effects transdermal fentanyl initiated based hour opioid requirement adequate analgesia achieved prolonged elimination transdermal fentanyl become problematic patients develop opioidrelated adverse effects especially hypoventilation adverse effects improve immediately patch removal may take many hours resolve patients experience opioidrelated toxicity associated respiratory depression treated immediately opioid antagonist naloxone closely monitored least hours short halflife naloxone sequential doses continuous infusion opioid antagonist may necessary transdermal fentanyl administered cautiously patients preexisting conditions emphysema may predispose development hypoventilation transdermal fentanyl indicated patients require continuous opioid administration treatment chronic pain cannot managed medications contraindicated management acute postoperative pain pain may decrease rapidly circumstances fentanyl blood levels adjusted leading development lifethreatening hypoventilation cognitive physical impairments confusion abnormal coordination occur transdermal fentanyl therefore patients instructed refrain driving operating machinery immediately following initiation transdermal fentanyl dosage increase patients may resume activities absence potential adverse effects documented
False,spiperone,schizophrenia,lymphocyte spiperone binding parameters bmax kd assessed patients schizophrenia patients schizotypal personality disorder neuroleptic naive age sexmatched control subjectsnanaim study determine whether spiperone binding lymphocytes could serve biological marker susceptibility schizophrenia schizophrenic spectrum disorders measure response neuroleptic treatment lymphocyte spiperone binding parameters bmax kd assessed patients schizophrenia patients schizotypal personality disorder neuroleptic naive age sexmatched control subjects repeated determination carried schizophrenic subjects several months neuroleptic treatment addition binding characteristics schizophrenicschizotypal patients compared healthy family members normal unrelated controls significant differences detected schizophrenic subjects controls neuroleptic treatment patients nonaffected family members controls
True,nickel,respiratory cancer,excess risks respiratory cancer demonstrated groups nickel exposed workersnanexcess risks respiratory cancer demonstrated groups nickelexposed workers clear however forms nickel exposure implicated excess risks aim determine whether occupational exposures received manufacture nickel alloys lead increased risks cancer particular nasal cancer lung cancer
True,Cd,fetal death,animal experiments highdose exposure cd induced severe testicular interstitial hemorrhage edema increased incidence fetal death placental necrosisnancadmium cd industrial environmental pollutant exerts adverse effects number organs humans animals reproductive organs testis placenta sensitive toxic effects cd animal experiments highdose exposure cd induced severe testicular interstitial hemorrhage edema increased incidence fetal death placental necrosis lowdose exposure cd affects steroid synthesis male female reproductive organs ministry environment japan listed cd strategy plan speed one chemicals suspected possible endocrine disrupting activity recently shown cd potent estrogen androgenlike activities vivo vitro directly binding estrogen androgen receptors however precise mechanisms underlying effects cd endocrine disruptor remain elucidated review discuss evidence thus far presented concerning effects cd endocrine system
False,anthracycline,APL,report favourable outcome paediatric apl patients treated according consecutive acute myeloid leukaemiaberlinfrankfurtmuenster amlbfm trials anthracycline cytarabine regimen combination alltransretinoid acid atrananacute promyelocytic leukaemia apl treatment often includes high cumulative doses anthracyclines cause longterm cardiotoxicity report favourable outcome paediatric apl patients treated according consecutive acute myeloid leukaemiaberlinfrankfurtmuenster amlbfm trials anthracyclinecytarabine regimen combination alltransretinoid acid atra outcomes achieved treatment reduced cumulative anthracycline dose mgm comparable reported studies higher doses fiveyear overall survival total cohort  eventfree survival pefs  overall survival similar comparing amlbfm trial periods trial       plogrank  seventyfive patients achieved complete remission fatal events occurred first weeks treatment longterm cardiotoxicity observed one patient two patients suffered secondary haematological malignancies salvage treatment effective patients relapsed apl longterm survivors second line combination treatment arsenic trioxide patients stem cell transplantation patients results demonstrate combined atra lower cumulative anthracycline dose used safely maintain high cure rates promote reduction longterm sequelae cardiotoxicity apl patients
True,acrylamide,toxicity,present review focuses several adverse health effects acrylamide including mutagenicity genotoxicity carcinogenicity neurotoxicity reproductive toxicity possible outcomes childhood exposure baby foods infant formulasnancontaminants vast subject area food safety quality present food chain raw materials finished products acrylamide unsaturated conjugated reactive molecule detected contaminant several foodstuffs including baby foods infant formulas anticipated children generally intakes two three times adults expressed bodyweight basis though exposure acrylamide inevitable necessary protect infant children high exposure present review focuses several adverse health effects acrylamide including mutagenicity genotoxicity carcinogenicity neurotoxicity reproductive toxicity possible outcomes childhood exposure baby foods infant formulas
False,praziquantel,hookworm coexist,areas schistosome hookworm coexist praziquantel recommended schistosomiasis control largescale application drug might also reduce burden hookwormsnanpraziquantel exhibits activity major human schistosome parasites become cornerstone treatment morbidity control schistosomiasis praziquantel also active wide range trematodes human veterinary cestodes displays cysticidal effects best knowledge anthelminthic properties never documented report study among schoolchildren area highly endemic schistosoma mansoni hookworm infection place particular emphasis effect praziquantel prevalence intensity hookworm infections stool specimens screened several consecutive days prior weeks systematic administration praziquantel found significant reduction prevalence hookworm infection  odds ratio confidence interval ci infection intensities expressed geometric mean egg counts children also reduced significantly  eggs per gram stool paired ttest
False,triglycerides,hypertriglyceridemia,review provides overview use omega concentrates pom overthecounter fish oil lower triglycerides people moderate hypertriglyceridemia triglycerides range  mgdlnanmoderate hypertriglyceridemia fairly common elevated triglycerides risk factor coronary heart disease omega fatty acids epa dha shown lower triglycerides many clinical studies prescription omega fatty acid concentrates pom indicated use people high triglycerides  mgdl current guidelines recommend triglycerides less
